,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,,,,,,NYMPH MEANS CENTRAL,,,,NYMPH MEANS EASTERN
,km,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,,,,,,
1,0,0.72,4.41,0.44,2.84,,,0.36,2.89,,,0.49,5.53,,,0.19,2.88,,,,<-,CENTRAL TRANSECT,,,,1.07,,,,3.74
2,20,0.16,1.67,0.22,2.61,,,0.65,1.85,,,0.59,2.1,,,0.15,2.52,,,,,,,,,0.9,,,,2.24
3,40,0.13,0.32,0.15,0.26,,,0.44,0.83,,,0.71,0.73,,,0.24,0.84,,,,,,,,,0.8,,,,1.76
4,60,0.11,2.02,0.07,0.89,,,1.39,1.96,,,1.55,2.83,,,1.1,4.72,,,,,,,,,2.47,,,,3.23
5,80,0.35,2.05,0.15,1.83,,,2.32,4.26,,,2.34,5.46,,,1.53,7.3,,,,,,,,,3.96,,,,6.56
6,100,1.18,7.8,0.09,6.6,,,0.79,5.6,,,6.12,6.46,,,1.8,8.1,,,,,,,,,6.06,,,,4.1
7,120,1.13,8.05,0.07,7.24,,,0.66,6.81,,,0.97,6.7,,,1.59,8.06,,,,,,,,,3.54,,,,2.7
8,140,1.03,7.58,0.06,7.75,,,0.6,5.16,,,2.78,7.25,,,1.44,8.03,,,,,,,,,2,,,,4.52
9,160,0.66,7.29,0.36,5.52,,,1.06,4.14,,,1.49,7.14,,,1.9,8.28,,,,,,,,,2.91,,,,6.33
10,180,0.92,8.18,0.14,7.51,,,1.1,7.68,,,1.1,6.98,,,0.69,8.22,,,,,,,,,2.65,,,,3.6
1,0,,,,,0.37,1.97,,,1.5,1.67,,,1.33,4.2,,,0.24,1.97,,<-,EASTERN TRANSECT,,,,,,,,
2,10,,,,,0.3,1.51,,,1.79,0.9,,,0.24,1.9,,,0.29,0.76,,,,,,,,,,,
3,20,,,,,0.37,1.02,,,2.04,1.6,,,0.29,1.15,,,0.37,1.26,,,,,,,,,,,
4,30,,,,,0.37,0.91,,,1.95,1.21,,,0.68,1.54,,,0.37,2.72,,,,,,,,,,,
5,40,,,,,1.85,3.09,,,2.87,5.72,,,1.08,5.53,,,0.88,4.63,,,,,,,,,,,
6,50,,,,,1.27,4.92,,,1.79,4.41,,,0.88,6.76,,,0.44,6.34,,,,,,,,,,,
7,60,,,,,0.89,3.82,,,1.52,4.52,,,0.62,6.37,,,0.28,5.62,,,,,,,,,,,
8,70,,,,,1.11,5.96,,,6.26,3.93,,,1.76,6.5,,,1.35,6.29,,,,,,,,,,,
9,80,,,,,0.21,5.97,,,4.85,6.08,,,2.43,6.63,,,0.51,5.53,,,,,,,,,,,
10,90,,,,,0.91,7.35,,,3.26,4.73,,,1.13,5.74,,,4.11,3.66,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,number,10,100,10,100,3,100,10,100,3,100,10,100,3,100,10,100,3,100,,,,,,,160,,,,35
,cm,5.46,8.33,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,,,,,,,6.57,,,,6.72
Linear Model With Seasonal Intercepts!,,,,,,,,,,,wet?march?,,,,,,,,,,,,,,,,,,,
CONVERTED,,,,dry?,,dry,,dry,,dry,,wet,,,,,,dry?,,,,,,,,,,,,
,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,,,,,,,,,,
,km,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,,,,,,
1,0,1.318681319,52.94117647,0.805860806,34.09363745,,,0.659340659,34.69387755,,,0.897435897,66.38655462,,,0.347985348,34.57382953,,,,,,,,,,,,,
2,20,0.293040293,20.04801921,0.402930403,31.33253301,,,1.19047619,22.20888355,,,1.080586081,25.21008403,,,0.274725275,30.25210084,,,,,,,,,,,,,
3,40,0.238095238,3.841536615,0.274725275,3.121248499,,,0.805860806,9.963985594,,,1.3003663,8.763505402,,,0.43956044,10.08403361,,,,,,,,,,,,,
4,60,0.201465201,24.24969988,0.128205128,10.68427371,,,2.545787546,23.52941176,,,2.838827839,33.97358944,,,2.014652015,56.66266507,,,,,,,,,,,,,
5,80,0.641025641,24.60984394,0.274725275,21.96878752,,,4.249084249,51.14045618,,,4.285714286,65.54621849,,,2.802197802,87.63505402,,,,,,,,,,,,,
